baseline_commit,old_file,old_file_lines,definition,start_line,end_line,definition_lines
4c6d7b6,app/__init__.py,2,,,,
4c6d7b6,app/action_guard/__init__.py,47,,,,
4c6d7b6,app/action_guard/action_broker.py,150,ActionBroker._rehydrate,88,135,48
4c6d7b6,app/action_guard/approval.py,304,ActionApproval.request,136,171,36
4c6d7b6,app/action_guard/approval.py,304,ActionApproval.approve,173,195,23
4c6d7b6,app/action_guard/egress_gate.py,232,EgressGate.assert_allowed,122,180,59
4c6d7b6,app/action_guard/egress_gate.py,232,EgressAudit.summarize,206,232,27
4c6d7b6,app/action_guard/guard_factory.py,77,build_context_factory,32,59,28
4c6d7b6,app/action_guard/preconditions.py,136,,,,
4c6d7b6,app/action_guard/undo_log.py,138,UndoLog.undo,94,119,26
4c6d7b6,app/actions/__init__.py,56,,,,
4c6d7b6,app/actions/calendar.py,66,make_calendar_create_proposal,17,44,28
4c6d7b6,app/actions/calendar.py,66,make_calendar_undo_proposal,47,66,20
4c6d7b6,app/actions/calendar_draft.py,159,_time_fields,62,84,23
4c6d7b6,app/actions/calendar_draft.py,159,parse_calendar_draft,101,159,59
4c6d7b6,app/actions/capsule_delivery.py,224,make_capsule_delivery_proposal,45,82,38
4c6d7b6,app/actions/capsule_delivery.py,224,make_clipboard_fallback_proposal,85,107,23
4c6d7b6,app/actions/capsule_delivery.py,224,describe_delivery_failure,203,224,22
4c6d7b6,app/actions/clipboard_history.py,170,ClipboardHistory.record,117,146,30
4c6d7b6,app/actions/document_backend.py,153,DocumentOperationBackend.__init__,32,57,26
4c6d7b6,app/actions/document_backend.py,153,DocumentOperationBackend._handler,67,94,28
4c6d7b6,app/actions/document_backend.py,153,DocumentOperationBackend.execute,119,150,32
4c6d7b6,app/actions/document_output.py,384,_output_contract,34,53,20
4c6d7b6,app/actions/document_output.py,384,_create_docx,66,93,28
4c6d7b6,app/actions/document_output.py,384,_create_xlsx,116,136,21
4c6d7b6,app/actions/document_output.py,384,_slide_specs,139,161,23
4c6d7b6,app/actions/document_output.py,384,_create_pptx,164,218,55
4c6d7b6,app/actions/document_output.py,384,_verify_docx,221,242,22
4c6d7b6,app/actions/document_output.py,384,_verify_pptx,262,299,38
4c6d7b6,app/actions/document_output.py,384,DocumentOutputHandler.read_current,305,334,30
4c6d7b6,app/actions/document_output.py,384,DocumentOutputHandler.execute,336,381,46
4c6d7b6,app/actions/draft_delivery.py,189,make_prompt_delivery_proposal,40,125,86
4c6d7b6,app/actions/draft_delivery.py,189,make_draft_delivery_proposal,128,189,62
4c6d7b6,app/actions/draft_writer.py,95,_compile_draft_writer,16,53,38
4c6d7b6,app/actions/draft_writer.py,95,write_draft_to_target,68,95,28
4c6d7b6,app/actions/executor.py,1069,SafeActionExecutor.__init__,84,113,30
4c6d7b6,app/actions/executor.py,1069,SafeActionExecutor._result,127,148,22
4c6d7b6,app/actions/executor.py,1069,SafeActionExecutor.execute,150,196,47
4c6d7b6,app/actions/executor.py,1069,SafeActionExecutor._finalize_execution,198,235,38
4c6d7b6,app/actions/executor.py,1069,SafeActionExecutor._document_patch_operation,237,316,80
